"type","name","time_units","begin_time","frequency","count","units"
"signal","","s",0.0000,2000.3556,75600,"uV"

"time","value"
0.1305,2.0885
0.1310,-2.4894
0.1315,-6.4570
0.1320,-8.5933
0.1325,-10.1193
0.1330,-11.9505
0.1335,-13.7816
0.1340,-13.4764
0.1345,-11.9505
0.1350,-12.2557
0.1355,-14.6972
0.1360,-18.0544
0.1365,-20.4959
0.1370,-21.7167
0.1375,-22.6323
0.1380,-23.8531
0.1385,-24.1582
0.1390,-22.0219
0.1395,-18.6648
0.1400,-16.2232
0.1405,-16.5284
0.1410,-17.7492
0.1415,-18.6648
0.1420,-18.6648
0.1425,-18.6648
0.1430,-18.3596
0.1435,-16.8336
0.1440,-15.0024
0.1445,-14.0868
0.1450,-14.6972
0.1455,-14.6972
0.1460,-15.3076
0.1465,-15.9180
0.1470,-16.2232
0.1475,-15.6128
0.1480,-15.9180
0.1485,-21.4115
0.1490,-29.9569
0.1495,-37.2816
0.1500,-39.1128
0.1505,-36.3660
0.1510,-31.7881
0.1515,-26.2946
0.1520,-21.1063
0.1525,-17.7492
0.1530,-17.7492
0.1535,-21.1063
0.1540,-24.4634
0.1545,-26.9050
0.1550,-29.0414
0.1555,-33.3141
0.1560,-39.1128
0.1565,-43.3855
0.1570,-43.0803
0.1575,-38.1972
0.1580,-30.5673
0.1585,-23.2427
0.1590,-20.8011
0.1595,-27.2102
0.1600,-38.5024
0.1605,-42.4699
0.1610,-30.8725
0.1615,-9.2037
0.1620,7.8872
0.1625,14.2962
0.1630,13.6859
0.1635,11.8547
0.1640,9.4131
0.1645,5.1404
0.1650,0.5625
0.1655,-2.4894
0.1660,-5.5414
0.1665,-9.8141
0.1670,-12.5609
0.1675,-10.7297
0.1680,-4.9310
0.1685,0.8677
0.1690,3.9196
0.1695,3.0041
0.1700,-1.5739
0.1705,-8.2881
0.1710,-12.8661
0.1715,-13.4764
0.1720,-12.5609
0.1725,-12.2557
0.1730,-11.3401
0.1735,-5.8466
0.1740,2.6989
0.1745,8.4976
0.1750,8.4976
0.1755,7.5820
0.1760,11.8547
0.1765,20.7053
0.1770,26.5040
0.1775,25.5884
0.1780,21.9261
0.1785,22.2313
0.1790,25.5884
0.1795,28.9456
0.1800,29.2508
0.1805,26.8092
0.1810,23.1469
0.1815,21.9261
0.1820,25.2832
0.1825,31.0819
0.1830,33.2183
0.1835,29.8612
0.1840,26.8092
0.1845,29.2508
0.1850,34.7443
0.1855,35.3547
0.1860,31.3871
0.1865,30.1664
0.1870,36.2702
0.1875,44.2053
0.1880,47.5624
0.1885,44.2053
0.1890,36.2702
0.1895,24.3677
0.1900,12.1599
0.1905,6.6664
0.1910,13.3807
0.1915,26.1988
0.1920,33.2183
0.1925,30.7767
0.1930,24.9780
0.1935,23.1469
0.1940,24.9780
0.1945,24.9780
0.1950,23.4521
0.1955,24.6729
0.1960,30.4715
0.1965,38.4066
0.1970,44.2053
0.1975,43.2897
0.1980,33.5235
0.1985,17.0430
0.1990,0.8677
0.1995,-7.3726
0.2000,-6.7622
0.2005,-1.8791
0.2010,1.4781
0.2015,-1.2687
0.2020,-10.7297
0.2025,-21.7167
0.2030,-25.0738
0.2035,-19.8855
0.2040,-14.6972
0.2045,-16.5284
0.2050,-19.2751
0.2055,-14.0868
0.2060,-5.2362
0.2065,-7.0674
0.2070,-22.9375
0.2075,-38.1972
0.2080,-38.5024
0.2085,-23.8531
0.2090,-4.0154
0.2095,14.6014
0.2100,29.5560
0.2105,35.3547
0.2110,28.9456
0.2115,15.2118
0.2120,0.5625
0.2125,-13.7816
0.2130,-30.2621
0.2135,-42.4699
0.2140,-41.5543
0.2145,-26.5998
0.2150,-7.9829
0.2155,3.6144
0.2160,4.5300
0.2165,-2.4894
0.2170,-11.9505
0.2175,-15.6128
0.2180,-10.4245
0.2185,-0.3531
0.2190,6.3612
0.2195,6.9716
0.2200,3.0041
0.2205,-5.2362
0.2210,-18.3596
0.2215,-33.3141
0.2220,-43.0803
0.2225,-44.3011
0.2230,-40.0284
0.2235,-33.9245
0.2240,-27.8206
0.2245,-23.2427
0.2250,-22.9375
0.2255,-25.9894
0.2260,-28.1258
0.2265,-27.2102
0.2270,-27.2102
0.2275,-29.9569
0.2280,-32.7037
0.2285,-32.0933
0.2290,-27.8206
0.2295,-22.9375
0.2300,-18.9699
0.2305,-15.6128
0.2310,-13.4764
0.2315,-13.7816
0.2320,-15.0024
0.2325,-14.3920
0.2330,-12.8661
0.2335,-12.2557
0.2340,-13.4764
0.2345,-14.6972
0.2350,-14.3920
0.2355,-15.0024
0.2360,-16.8336
0.2365,-18.3596
0.2370,-17.1388
0.2375,-14.3920
0.2380,-13.4764
0.2385,-15.6128
0.2390,-18.0544
0.2395,-18.6648
0.2400,-17.7492
0.2405,-16.5284
0.2410,-14.6972
0.2415,-11.9505
0.2420,-11.9505
0.2425,-16.5284
0.2430,-24.1582
0.2435,-30.5673
0.2440,-32.0933
0.2445,-29.0414
0.2450,-22.0219
0.2455,-12.2557
0.2460,-2.1843
0.2465,5.1404
0.2470,9.1079
0.2475,11.2443
0.2480,11.5495
0.2485,9.7183
0.2490,6.3612
0.2495,3.0041
0.2500,0.5625
0.2505,-0.6583
0.2510,0.8677
0.2515,6.9716
0.2520,13.9911
0.2525,13.9911
0.2530,6.3612
0.2535,0.2573
0.2540,4.5300
0.2545,17.6534
0.2550,29.5560
0.2555,35.9650
0.2560,39.0170
0.2565,40.8482
0.2570,38.7118
0.2575,32.9131
0.2580,28.0300
0.2585,26.8092
0.2590,24.9780
0.2595,20.0949
0.2600,15.8222
0.2605,16.4326
0.2610,20.0949
0.2615,20.4001
0.2620,13.0755
0.2625,-1.8791
0.2630,-23.8531
