"type","name","time_units","begin_time","frequency","count","units"
"signal","","s",0.0000,2000.3556,75600,"uV"

"time","value"
0.1285,-268.3507
0.1290,-261.0260
0.1295,-255.8377
0.1300,-250.6494
0.1305,-242.7144
0.1310,-233.2533
0.1315,-225.9287
0.1320,-217.9936
0.1325,-204.5651
0.1330,-189.3053
0.1335,-177.7079
0.1340,-168.8573
0.1345,-156.3443
0.1350,-139.5586
0.1355,-123.0781
0.1360,-107.5132
0.1365,-89.8120
0.1370,-70.8899
0.1375,-54.1042
0.1380,-38.8445
0.1385,-21.1432
0.1390,-3.1367
0.1395,13.0386
0.1400,29.5191
0.1405,49.3567
0.1410,69.1943
0.1415,84.4540
0.1420,96.6618
0.1425,110.0904
0.1430,123.8241
0.1435,135.4215
0.1440,146.4085
0.1445,160.4475
0.1450,173.8760
0.1455,182.1163
0.1460,186.3890
0.1465,190.9669
0.1470,196.4604
0.1475,200.4279
0.1480,205.6162
0.1485,212.9409
0.1490,217.8240
0.1495,217.5188
0.1500,215.6876
0.1505,215.9928
0.1510,216.9084
0.1515,215.9928
0.1520,215.6876
0.1525,218.4344
0.1530,219.9604
0.1535,216.9084
0.1540,212.6357
0.1545,211.4149
0.1550,210.4993
0.1555,207.7526
0.1560,205.3110
0.1565,205.9214
0.1570,205.3110
0.1575,200.4279
0.1580,194.9344
0.1585,192.7981
0.1590,190.9669
0.1595,186.6942
0.1600,183.0318
0.1605,183.3370
0.1610,182.4215
0.1615,176.0124
0.1620,168.3825
0.1625,164.1098
0.1630,161.6682
0.1635,156.7851
0.1640,153.1228
0.1645,153.7332
0.1650,154.3436
0.1655,148.8501
0.1660,139.9994
0.1665,133.8955
0.1670,130.8436
0.1675,128.4020
0.1680,126.5709
0.1685,125.9605
0.1690,124.4345
0.1695,120.7722
0.1700,117.7202
0.1705,116.1943
0.1710,113.4475
0.1715,109.1748
0.1720,107.9540
0.1725,110.3956
0.1730,110.7008
0.1735,106.7332
0.1740,103.3761
0.1745,103.3761
0.1750,103.3761
0.1755,101.8501
0.1760,102.4605
0.1765,105.2073
0.1770,105.5125
0.1775,102.4605
0.1780,101.5449
0.1785,103.0709
0.1790,102.7657
0.1795,101.2397
0.1800,104.5969
0.1805,111.3112
0.1810,112.8371
0.1815,109.1748
0.1820,110.0904
0.1825,116.1943
0.1830,117.4150
0.1835,114.9735
0.1840,122.6034
0.1845,141.8306
0.1850,153.7332
0.1855,146.4085
0.1860,132.6748
0.1865,129.9280
0.1870,136.3371
0.1875,140.6098
0.1880,142.1358
0.1885,147.0189
0.1890,153.1228
0.1895,154.6488
0.1900,153.4280
0.1905,155.2592
0.1910,158.9215
0.1915,160.7527
0.1920,162.2786
0.1925,166.2462
0.1930,169.2981
0.1935,168.0773
0.1940,166.8565
0.1945,168.3825
0.1950,169.9085
0.1955,170.2137
0.1960,172.3500
0.1965,177.5383
0.1970,180.2851
0.1975,176.9280
0.1980,172.9604
0.1985,172.9604
0.1990,174.7916
0.1995,175.0968
0.2000,176.3176
0.2005,179.9799
0.2010,181.5059
0.2015,179.6747
0.2020,178.1487
0.2025,179.9799
0.2030,181.2007
0.2035,179.9799
0.2040,180.5903
0.2045,183.9474
0.2050,185.4734
0.2055,181.8111
0.2060,177.5383
0.2065,176.0124
0.2070,175.4020
0.2075,174.1812
0.2080,175.4020
0.2085,177.8435
0.2090,176.3176
0.2095,169.9085
0.2100,165.3306
0.2105,164.7202
0.2110,163.4994
0.2115,159.5319
0.2120,158.0059
0.2125,160.7527
0.2130,161.0578
0.2135,155.8695
0.2140,150.6812
0.2145,149.4605
0.2150,148.8501
0.2155,146.1033
0.2160,145.1877
0.2165,148.5449
0.2170,151.5968
0.2175,149.1553
0.2180,144.5773
0.2185,142.4410
0.2190,142.1358
0.2195,140.9150
0.2200,140.6098
0.2205,140.6098
0.2210,138.7787
