"type","name","time_units","begin_time","frequency","count","units"
"signal","","s",0.0000,2000.3556,75600,"uV"

"time","value"
0.1310,-6.0330
0.1315,-7.2537
0.1320,-7.2537
0.1325,-8.1693
0.1330,-11.2213
0.1335,-15.1888
0.1340,-17.3252
0.1345,-17.0200
0.1350,-15.7992
0.1355,-16.1044
0.1360,-18.5459
0.1365,-21.5979
0.1370,-23.1239
0.1375,-22.2083
0.1380,-20.6823
0.1385,-20.6823
0.1390,-21.2927
0.1395,-20.3771
0.1400,-17.6304
0.1405,-15.7992
0.1410,-16.1044
0.1415,-16.7148
0.1420,-16.1044
0.1425,-13.9680
0.1430,-11.8317
0.1435,-10.3057
0.1440,-9.3901
0.1445,-9.0849
0.1450,-8.1693
0.1455,-6.3382
0.1460,-3.5914
0.1465,-1.7602
0.1470,-2.3706
0.1475,-3.5914
0.1480,-4.5070
0.1485,-5.7278
0.1490,-9.6953
0.1495,-16.1044
0.1500,-22.5135
0.1505,-26.1758
0.1510,-26.1758
0.1515,-22.8187
0.1520,-17.9355
0.1525,-13.0524
0.1530,-9.0849
0.1535,-6.9485
0.1540,-8.7797
0.1545,-12.4420
0.1550,-16.1044
0.1555,-18.5459
0.1560,-21.5979
0.1565,-26.1758
0.1570,-28.3122
0.1575,-25.5654
0.1580,-19.7667
0.1585,-16.1044
0.1590,-16.7148
0.1595,-19.7667
0.1600,-22.5135
0.1605,-22.8187
0.1610,-19.7667
0.1615,-13.0524
0.1620,-5.4226
0.1625,0.9865
0.1630,5.5644
0.1635,7.7008
0.1640,6.1748
0.1645,2.8177
0.1650,3.1229
0.1655,8.6164
0.1660,14.7203
0.1665,15.9410
0.1670,11.9735
0.1675,8.6164
0.1680,7.7008
0.1685,6.1748
0.1690,3.1229
0.1695,0.9865
0.1700,0.0709
0.1705,-1.4550
0.1710,-3.8966
0.1715,-5.1174
0.1720,-2.6758
0.1725,1.9021
0.1730,8.0060
0.1735,14.1099
0.1740,19.2982
0.1745,20.5189
0.1750,17.7722
0.1755,15.0254
0.1760,13.8047
0.1765,12.5839
0.1770,9.5319
0.1775,4.9540
0.1780,0.6813
0.1785,-5.4226
0.1790,-15.7992
0.1795,-27.0914
0.1800,-35.9420
0.1805,-40.8251
0.1810,-42.9615
0.1815,-40.8251
0.1820,-32.2797
0.1825,-19.1563
0.1830,-6.9485
0.1835,0.0709
0.1840,2.8177
0.1845,4.6488
0.1850,6.1748
0.1855,6.1748
0.1860,5.2592
0.1865,4.9540
0.1870,5.2592
0.1875,5.5644
0.1880,4.6488
0.1885,2.5125
0.1890,0.0709
0.1895,-2.6758
0.1900,-2.3706
0.1905,1.5969
0.1910,8.3112
0.1915,12.8891
0.1920,13.4995
0.1925,12.8891
0.1930,15.0254
0.1935,19.6034
0.1940,22.0449
0.1945,19.2982
0.1950,12.5839
0.1955,5.5644
0.1960,0.3761
0.1965,-2.0654
0.1970,-2.0654
0.1975,2.8177
0.1980,15.6358
0.1985,34.2527
0.1990,52.5644
0.1995,63.2462
0.2000,65.3825
0.2005,63.2462
0.2010,60.4994
0.2015,55.9215
0.2020,49.2072
0.2025,43.4085
0.2030,39.1358
0.2035,31.2008
0.2040,16.8566
0.2045,-0.5395
0.2050,-15.1888
0.2055,-25.8706
0.2060,-35.0264
0.2065,-45.4030
0.2070,-60.9680
0.2075,-85.3835
0.2080,-110.4095
0.2085,-118.3445
0.2090,-100.3380
0.2095,-73.4809
0.2100,-62.7991
0.2105,-68.5978
0.2110,-70.7342
0.2115,-57.3056
0.2120,-39.6044
0.2125,-30.1433
0.2130,-26.1758
0.2135,-16.4096
0.2140,-1.7602
0.2145,7.3956
0.2150,8.6164
0.2155,5.8696
0.2160,3.1229
0.2165,1.2917
0.2170,1.2917
0.2175,5.8696
0.2180,12.8891
0.2185,18.9930
0.2190,22.3501
0.2195,24.7917
0.2200,26.9280
0.2205,27.8436
0.2210,27.8436
0.2215,28.7592
0.2220,30.5904
0.2225,32.1163
0.2230,33.0319
0.2235,34.2527
0.2240,36.6943
0.2245,37.9150
0.2250,36.3891
0.2255,33.0319
0.2260,30.8956
0.2265,31.2008
0.2270,31.2008
0.2275,29.9800
0.2280,27.8436
0.2285,28.1488
0.2290,30.2852
0.2295,32.1163
0.2300,31.5059
0.2305,29.9800
0.2310,29.6748
0.2315,30.8956
0.2320,31.5059
0.2325,29.9800
0.2330,27.8436
0.2335,26.3176
0.2340,25.7073
