"type","name","time_units","begin_time","frequency","count","units"
"signal","","s",0.0000,2000.3556,146960,"uV"

"time","value"
0.1310,-40.3017
0.1315,-34.8082
0.1320,-29.6199
0.1325,-21.0744
0.1330,-11.0030
0.1335,-6.7303
0.1340,-11.3082
0.1345,-21.0744
0.1350,-31.1458
0.1355,-39.0809
0.1360,-41.5225
0.1365,-39.0809
0.1370,-38.4705
0.1375,-48.5419
0.1380,-65.6328
0.1385,-76.0094
0.1390,-74.4835
0.1395,-68.6848
0.1400,-68.6848
0.1405,-74.7886
0.1410,-81.5029
0.1415,-84.8601
0.1420,-82.7237
0.1425,-74.1783
0.1430,-65.0224
0.1435,-63.8016
0.1440,-70.5159
0.1445,-72.3471
0.1450,-58.3081
0.1455,-35.1134
0.1460,-14.9705
0.1465,-0.3212
0.1470,17.0749
0.1475,40.8800
0.1480,63.1592
0.1485,75.9774
0.1490,78.4189
0.1495,68.6527
0.1500,41.1852
0.1505,2.1203
0.1510,-22.6004
0.1515,-11.0030
0.1520,25.9255
0.1525,52.7826
0.1530,49.7307
0.1535,36.6073
0.1540,44.5424
0.1545,74.4514
0.1550,97.6462
0.1555,95.8150
0.1560,78.4189
0.1565,66.2112
0.1570,63.1592
0.1575,59.8021
0.1580,48.5099
0.1585,32.6398
0.1590,20.4320
0.1595,16.7697
0.1600,21.6528
0.1605,28.9775
0.1610,29.5878
0.1615,20.4320
0.1620,6.6983
0.1625,-3.0680
0.1630,-8.2563
0.1635,-11.0030
0.1640,-10.6978
0.1645,-9.4770
0.1650,-13.4446
0.1655,-25.3472
0.1660,-37.2497
0.1665,-39.3861
0.1670,-33.5874
0.1675,-30.2303
0.1680,-34.5030
0.1685,-43.6588
0.1690,-55.8666
0.1695,-66.8536
0.1700,-63.8016
0.1705,-39.0809
0.1710,-11.3082
0.1715,-12.2238
0.1720,-42.4380
0.1725,-62.2757
0.1730,-35.4186
0.1735,23.1788
0.1740,67.7371
0.1745,70.1787
0.1750,39.6593
0.1755,-1.5420
0.1760,-38.1653
0.1765,-59.2237
0.1770,-57.6978
0.1775,-40.9121
0.1780,-26.8731
0.1785,-24.4316
0.1790,-28.3991
0.1795,-28.7043
0.1800,-21.3796
0.1805,-1.5420
0.1810,31.7242
0.1815,68.0423
0.1820,85.4384
0.1825,74.4514
0.1830,50.3411
0.1835,36.9125
0.1840,41.7956
0.1845,53.0878
0.1850,53.3930
0.1855,36.9125
0.1860,12.8022
0.1865,-5.2043
0.1870,-11.3082
0.1875,-9.7822
0.1880,-4.8991
0.1885,3.3411
0.1890,16.7697
0.1895,27.4515
0.1900,28.3671
0.1905,20.7372
0.1910,9.7502
0.1915,-3.3732
0.1920,-17.1069
0.1925,-22.2952
0.1930,-13.4446
0.1935,-2.4576
0.1940,-5.8147
0.1945,-21.6848
0.1950,-33.2822
0.1955,-30.8406
0.1960,-21.0744
0.1965,-10.0874
0.1970,2.4255
0.1975,14.6333
0.1980,16.1593
0.1985,6.6983
0.1990,1.8152
0.1995,10.6658
0.2000,23.7891
0.2005,25.0099
0.2010,13.7177
0.2015,-0.0160
0.2020,-11.6134
0.2025,-23.2108
0.2030,-31.4510
0.2035,-27.7887
0.2040,-8.8667
0.2045,17.6853
0.2050,40.2696
0.2055,50.3411
0.2060,45.7631
0.2065,34.1658
0.2070,24.7047
0.2075,19.2112
0.2080,8.8346
0.2085,-11.6134
0.2090,-33.5874
0.2095,-45.1848
0.2100,-49.4575
0.2105,-56.4770
0.2110,-65.3276
0.2115,-64.7172
0.2120,-55.2562
0.2125,-52.2043
0.2130,-56.4770
0.2135,-44.8796
0.2140,-2.7628
0.2145,48.2047
0.2150,70.1787
0.2155,53.6982
0.2160,25.0099
0.2165,8.8346
0.2170,5.1723
0.2175,4.8671
0.2180,4.2567
0.2185,3.0359
0.2190,-3.0680
0.2195,-13.1394
0.2200,-15.2757
0.2205,-5.2043
0.2210,4.2567
0.2215,4.8671
0.2220,8.5294
0.2225,35.9969
0.2230,84.2176
0.2235,128.1656
0.2240,148.9189
0.2245,148.3085
0.2250,132.4384
0.2255,99.1722
0.2260,49.4255
0.2265,-0.0160
0.2270,-25.6523
0.2275,-19.5485
0.2280,-0.3212
0.2285,6.3931
0.2290,-6.1199
0.2295,-25.3472
0.2300,-33.8926
0.2305,-29.3147
0.2310,-21.0744
0.2315,-16.4965
0.2320,-12.5290
0.2325,-6.4251
0.2330,-0.0160
0.2335,5.1723
0.2340,14.6333
0.2345,28.9775
0.2350,39.0489
0.2355,38.4385
0.2360,35.3865
0.2365,42.4060
0.2370,55.2242
0.2375,56.4450
0.2380,39.3541
0.2385,17.3801
0.2390,5.4775
0.2395,3.6463
0.2400,1.5100
0.2405,-2.7628
0.2410,-4.8991
0.2415,-3.3732
0.2420,-5.5095
0.2425,-18.6329
0.2430,-42.7432
0.2435,-69.9055
0.2440,-91.8795
0.2445,-103.7821
0.2450,-103.1717
0.2455,-92.1847
0.2460,-74.7886
0.2465,-57.0874
0.2470,-45.4900
0.2475,-39.3861
0.2480,-32.6718
0.2485,-20.7692
0.2490,-8.8667
0.2495,-5.8147
0.2500,-11.6134
0.2505,-16.8017
0.2510,-14.6653
0.2515,-9.4770
0.2520,-9.7822
0.2525,-16.1913
0.2530,-22.6004
0.2535,-24.4316
0.2540,-22.2952
0.2545,-18.0225
0.2550,-11.0030
0.2555,-1.5420
0.2560,7.0035
0.2565,10.0554
0.2570,3.3411
0.2575,-7.0355
0.2580,-11.3082
0.2585,-5.5095
0.2590,0.2892
0.2595,-0.9316
0.2600,-4.2887
0.2605,2.1203
0.2610,15.2437
0.2615,18.6008
0.2620,6.6983
0.2625,-8.5615
0.2630,-20.4640
0.2635,-34.5030
0.2640,-51.2887
0.2645,-57.6978
0.2650,-49.1523
0.2655,-43.6588
0.2660,-60.4445
0.2665,-87.9120
0.2670,-98.8990
0.2675,-84.8601
0.2680,-62.2757
0.2685,-49.1523
0.2690,-45.4900
0.2695,-43.9640
0.2700,-40.6069
0.2705,-38.4705
0.2710,-43.9640
0.2715,-57.0874
0.2720,-66.2432
0.2725,-60.1393
0.2730,-44.2692
0.2735,-37.5549
0.2740,-46.4056
