"type","name","time_units","begin_time","frequency","count","units"
"signal","","s",0.0000,2000.3556,146960,"uV"

"time","value"
0.1485,521.1336
0.1490,511.0621
0.1495,496.7180
0.1500,481.1531
0.1505,465.2830
0.1510,449.1077
0.1515,432.3220
0.1520,414.3155
0.1525,394.4779
0.1530,371.2831
0.1535,345.9520
0.1540,321.8416
0.1545,298.6468
0.1550,274.8417
0.1555,251.9521
0.1560,230.2833
0.1565,207.3937
0.1570,180.5366
0.1575,151.5431
0.1580,125.6016
0.1585,102.4068
0.1590,79.5173
0.1595,56.9329
0.1600,36.4848
0.1605,16.9524
0.1610,-4.1060
0.1615,-23.6385
0.1620,-37.0670
0.1625,-45.9177
0.1630,-56.2943
0.1635,-67.5865
0.1640,-73.0800
0.1645,-71.5540
0.1650,-69.4176
0.1655,-69.1124
0.1660,-67.5865
0.1665,-62.3981
0.1670,-56.2943
0.1675,-49.2748
0.1680,-37.6774
0.1685,-22.1125
0.1690,-8.0735
0.1695,5.9654
0.1700,30.3810
0.1705,65.4783
0.1710,95.9977
0.1715,111.8679
0.1720,121.0237
0.1725,138.4198
0.1730,164.6665
0.1735,189.3872
0.1740,209.5301
0.1745,232.1145
0.1750,259.5820
0.1755,288.5754
0.1760,316.3481
0.1765,344.1208
0.1770,371.2831
0.1775,394.7831
0.1780,415.8415
0.1785,436.5947
0.1790,456.1272
0.1795,471.3869
0.1800,484.2050
0.1805,497.0232
0.1810,507.7050
0.1815,512.2829
0.1820,511.9777
0.1825,511.6725
0.1830,511.3673
0.1835,507.3998
0.1840,501.9063
0.1845,497.3284
0.1850,492.1401
0.1855,482.3739
0.1860,468.3349
0.1865,454.6012
0.1870,442.0882
0.1875,429.8804
0.1880,417.9778
0.1885,407.9064
0.1890,396.3090
0.1895,380.4389
0.1900,362.4325
0.1905,345.0364
0.1910,327.3351
0.1915,308.4131
0.1920,290.4066
0.1925,273.9261
0.1930,255.9196
0.1935,233.6404
0.1940,210.4457
0.1945,189.6924
0.1950,170.1600
0.1955,149.4068
0.1960,129.8743
0.1965,113.0886
0.1970,95.3874
0.1975,73.4134
0.1980,51.1342
0.1985,31.9069
0.1990,14.2056
0.1995,-4.7164
0.2000,-23.3333
0.2005,-39.2034
0.2010,-55.6839
0.2015,-76.1319
0.2020,-97.8007
0.2025,-115.1968
0.2030,-129.8461
0.2035,-145.1058
0.2040,-160.0604
0.2045,-172.8785
0.2050,-185.0863
0.2055,-200.3460
0.2060,-217.7421
0.2065,-234.2226
0.2070,-249.1771
0.2075,-262.6057
0.2080,-274.2031
0.2085,-283.9693
0.2090,-295.5667
0.2095,-309.3004
0.2100,-321.5082
0.2105,-331.2744
0.2110,-341.3458
0.2115,-352.3328
0.2120,-359.9627
0.2125,-364.2354
0.2130,-370.3393
