"type","name","time_units","begin_time","frequency","count","units"
"signal","","s",0.0000,2000.3556,146960,"uV"

"time","value"
0.1305,6.7033
0.1310,-1.8421
0.1315,-7.3356
0.1320,-9.1668
0.1325,-5.1993
0.1330,0.5994
0.1335,5.4825
0.1340,10.0604
0.1345,15.2487
0.1350,15.2487
0.1355,9.4500
0.1360,5.7877
0.1365,8.8397
0.1370,9.7552
0.1375,-0.0110
0.1380,-14.0499
0.1385,-19.8486
0.1390,-17.1019
0.1395,-13.1343
0.1400,-8.5564
0.1405,-1.8421
0.1410,-0.3162
0.1415,-11.3032
0.1420,-27.4785
0.1425,-37.5499
0.1430,-44.2642
0.1435,-56.7771
0.1440,-69.2901
0.1445,-65.0174
0.1450,-40.9070
0.1455,-14.3551
0.1460,-0.6214
0.1465,1.8202
0.1470,-0.3162
0.1475,-7.3356
0.1480,-17.1019
0.1485,-24.1213
0.1490,-25.3421
0.1495,-28.6993
0.1500,-38.7707
0.1505,-48.8421
0.1510,-50.6733
0.1515,-45.4849
0.1520,-41.8226
0.1525,-47.3161
0.1530,-59.2187
0.1535,-67.4589
0.1540,-58.3031
0.1545,-26.8681
0.1550,13.7228
0.1555,42.7162
0.1560,50.0409
0.1565,45.4630
0.1570,44.5474
0.1575,49.4305
0.1580,52.4825
0.1585,47.5993
0.1590,36.6123
0.1595,24.4046
0.1600,15.5539
0.1605,11.5864
0.1610,11.5864
0.1615,11.8916
0.1620,12.1968
0.1625,16.4695
0.1630,27.4565
0.1635,38.1383
0.1640,39.0539
0.1645,30.8137
0.1650,24.4046
0.1655,25.6253
0.1660,27.7617
0.1665,23.7942
0.1670,18.9111
0.1675,22.5734
0.1680,32.3396
0.1685,34.4760
0.1690,21.9630
0.1695,2.4306
0.1700,-10.0824
0.1705,-14.0499
0.1710,-17.1019
0.1715,-25.6473
0.1720,-37.8551
0.1725,-46.7057
0.1730,-46.7057
0.1735,-37.8551
0.1740,-24.4265
0.1745,-11.6084
0.1750,-3.6733
0.1755,-2.1473
0.1760,-3.9785
0.1765,0.2942
0.1770,18.3007
0.1775,42.4110
0.1780,56.1448
0.1785,51.5669
0.1790,36.3072
0.1795,18.6059
0.1800,-3.3681
0.1805,-32.3616
0.1810,-56.1668
0.1815,-60.1343
0.1820,-48.5369
0.1825,-38.1603
0.1830,-35.1083
0.1835,-26.5629
0.1840,-4.2837
0.1845,20.1318
0.1850,31.4240
0.1855,28.6773
0.1860,21.9630
0.1865,17.6903
0.1870,16.4695
0.1875,20.4370
0.1880,32.0344
0.1885,47.2942
0.1890,58.8915
0.1895,64.3850
0.1900,66.5214
0.1905,66.2162
0.1910,60.1123
0.1915,48.2097
0.1920,36.6123
0.1925,32.0344
0.1930,33.5604
0.1935,33.5604
0.1940,27.1513
0.1945,17.6903
0.1950,10.9760
0.1955,9.7552
0.1960,10.3656
0.1965,10.9760
0.1970,13.1124
0.1975,19.5215
0.1980,24.4046
0.1985,21.6578
0.1990,12.5020
0.1995,4.8721
0.2000,2.1254
0.2005,-0.3162
0.2010,-5.5045
0.2015,-6.4201
0.2020,3.3462
0.2025,20.7422
0.2030,33.5604
0.2035,38.4435
0.2040,41.8007
0.2045,48.2097
0.2050,53.3980
0.2055,50.6513
0.2060,41.8007
0.2065,35.0864
0.2070,34.1708
0.2075,35.0864
0.2080,29.8981
0.2085,17.9955
0.2090,2.1254
0.2095,-14.0499
0.2100,-32.6668
0.2105,-55.8616
0.2110,-79.9719
0.2115,-95.8420
0.2120,-97.0628
0.2125,-87.2966
0.2130,-76.6148
0.2135,-67.7641
0.2140,-53.7252
0.2145,-31.7512
0.2150,-12.5240
0.2155,-7.9460
0.2160,-13.1343
0.2165,-11.6084
0.2170,0.5994
0.2175,11.8916
0.2180,11.8916
0.2185,6.7033
0.2190,6.3981
0.2195,5.1773
0.2200,-9.4720
0.2205,-37.2447
0.2210,-65.3226
0.2215,-85.1602
0.2220,-97.0628
0.2225,-100.1147
0.2230,-88.8226
0.2235,-66.2382
0.2240,-48.2317
0.2245,-44.5694
0.2250,-49.4525
0.2255,-49.1473
0.2260,-38.7707
0.2265,-21.6798
0.2270,-3.3681
0.2275,10.0604
0.2280,11.8916
0.2285,1.8202
0.2290,-9.7772
0.2295,-14.0499
0.2300,-12.2188
0.2305,-13.4395
0.2310,-17.1019
0.2315,-13.1343
0.2320,0.2942
0.2325,9.7552
